ワード,読み,入力例
猫の手も借りたいです,ねこのてもかりたいです,nekonotemokaritaidesu
熱狂的サポーター,ねっきょうてきさぽーたー,nekkyoutekisapo-ta-
熱帯雨林気候,ねったいうりんきこう,nettaiurinkikou
ノーヒットノーラン,のーひっとのーらん,no-hittono-raxn
ノンアルコールビール,のんあるこーるびーる,noxnaruko-rubi-ru
パーソナルコンピュータ,ぱーそなるこんぴゅーた,pa-sonarukonpyu-ta
バイオテクノロジー,ばいおてくのろじー,baiotekunoroji-
パイナップルの缶詰,ぱいなっぷるのかんづめ,painappurunokandume
爆発的人気,ばくはつてきにんき,bakuhatutekininki
白馬に乗った王子様,はくばにのったおうじさま,hakubaninottaoujisama
激しいリンボーダンス,はげしいりんぼーだんす,hagesiirinbo-dansu
はさみでチョキチョキ,はさみでちょきちょき,hasamidetyokityoki
パスワードを入れてください,ぱすわーどをいれてください,pasuwa-dowoiretekudasai
パスワードを入力してください,ぱすわーどをにゅうりょくしてください,pasuwa-dowonyuuryokusitekudasai
働かざるもの食うべからず,はたらかざるものくうべからず,hatarakazarumonokuubekarazu
働くパパはカッコイイ,はたらくぱぱはかっこいい,hatarakupapahakakkoii
パパ、ぼく弟ほしい,ぱぱ、ぼくおとうとほしい,"papa,bokuotoutohosii"
バミューダトライアングル,ばみゅーだとらいあんぐる,bamyu-datoraianguru
早起きは三文の得,はやおきはさんもんのとく,hayaokihasanmoxnnotoku
張りつめた空気が漂う,はりつめたくうきがただよう,haritumetakuukigatadayou
はるか遠くの銀河,はるかとおくのぎんが,harukatookunoginga
パン食い競争,ぱんくいきょうそう,pankuikyousou
犯人はこの中にいる,はんにんはこのなかにいる,haxnninhakononakaniiru
ハンバーグステーキ,はんばーぐすてーき,hanba-gusute-ki
ハンバーグ定食,はんばーぐていしょく,hanba-guteishoku
ピーマンも食べなさい,ぴーまんもたべなさい,pi-manmotabenasai
ビールのおいしい季節,びーるのおいしいきせつ,bi-runooisiikisetu
非常識にも程がある,ひじょうしきにもほどがある,hijousikinimohodogaaru
非常事態発生,ひじょうじたいはっせい,hijoujitaihassei
引っ越しの準備,ひっこしのじゅんび,hikkosinojunbi
火に油を注ぐ,ひにあぶらをそそぐ,hiniaburawososogu
冷やし中華始めました,ひやしちゅうかはじめました,hiyasityuukahajimemasita
ヒラメとカレイの見分け方,ひらめとかれいのみわけかた,hirametokareinomiwakekata
ファーストクラスに乗ってみたい,ふぁーすとくらすにのってみたい,fa-sutokurasuninottemitai
ファーブル昆虫記,ふぁーぶるこんちゅうき,fa-burukontyuuki
ファッション雑誌,ふぁっしょんざっし,fasshonzassi
ファッションセンスに難あり,ふぁっしょんせんすになんあり,fasshonsensuninaxnari
ファミリーレストラン,ふぁみりーれすとらん,famiri-resutoraxn
風力発電,ふうりょくはつでん,fuuryokuhatudexn
プールサイドで日光浴,ぷーるさいどでにっこうよく,pu-rusaidodenikkouyoku
ふかふかのお布団で眠りたい,ふかふかのおふとんでねむりたい,fukafukanoofutondenemuritai
普段着はパジャマです,ふだんぎはぱじゃまです,fudangihapajamadesu
布団が恋しい季節,ふとんがこいしいきせつ,futongakoisiikisetu
布団から出られない,ふとんからでられない,futonkaraderarenai
冬将軍の到来,ふゆしょうぐんのとうらい,fuyushouguxnnotourai
ブラウザは何を使っていますか？,ぶらうざはなにをつかっていますか？,burauzahananiwotukatteimasuka?
鰤と書いてブリと読む,ぶりとかいてぶりとよむ,buritokaiteburitoyomu
ブリとハマチは同じ魚,ぶりとはまちはおなじさかな,buritohamatihaonajisakana
ブルータス、お前もか,ぶるーたす、おまえもか,"buru-tasu,omaemoka"
フルーツの王様,ふるーつのおうさま,furu-tunoousama
フルモデルチェンジ,ふるもでるちぇんじ,furumoderutyenji
プレゼンテーション,ぷれぜんてーしょん,purezente-shoxn
風呂上りの一杯,ふろあがりのいっぱい,furoagarinoippai
プログラミング言語,ぷろぐらみんぐげんご,puroguramingugengo
プロフェッショナル,ぷろふぇっしょなる,purofesshonaru
ふわふわパンケーキ,ふわふわぱんけーき,fuwafuwapanke-ki
平均寿命,へいきんじゅみょう,heikinjumyou
ヘッドスライディング,へっどすらいでぃんぐ,heddosuraidhingu
豊富なボキャブラリー,ほうふなぼきゃぶらりー,houfunabokyaburari-
ホームページ作りました,ほーむぺーじつくりました,ho-mupe-jitukurimasita
ホコリでくしゃみ連発,ほこりでくしゃみれんぱつ,hokoridekushamirenpatu
星のない夜の空,ほしのないよるのそら,hosinonaiyorunosora
母性本能をくすぐる,ぼせいほんのうをくすぐる,boseihoxnnouwokusuguru
北海道直送,ほっかいどうちょくそう,hokkaidoutyokusou
北極と南極,ほっきょくとなんきょく,hokkyokutonankyoku
微笑みの貴公子,ほほえみのきこうし,hohoeminokikousi
ホワイトチョコレート,ほわいとちょこれーと,howaitotyokore-to
本当にあった怖い話,ほんとうにあったこわいはなし,hontouniattakowaihanasi
ほんの出来心だったんです,ほんのできごころだったんです,hoxnnodekigokorodattandesu
迷子のご案内,まいごのごあんない,maigonogoaxnnai
枕投げしようぜ,まくらなげしようぜ,makuranagesiyouze
マサチューセッツ工科大学,まさちゅーせっつこうかだいがく,masatyu-settukoukadaigaku
またのお越しをお待ちしております,またのおこしをおまちしております,matanookosiwoomatisiteorimasu
全く覚えていない,まったくおぼえていない,mattakuoboeteinai
窓の外は冷たい雨,まどのそとはつめたいあめ,madonosotohatumetaiame
マヤ文明の遺跡,まやぶんめいのいせき,mayabunmeinoiseki
マンションの一室,まんしょんのいっしつ,manshoxnnoissitu
ミイラ取りがミイラになる,みいらとりがみいらになる,miiratorigamiiraninaru
未確認飛行物体,みかくにんひこうぶったい,mikakuninhikoubuttai
ミステリーサークル,みすてりーさーくる,misuteri-sa-kuru
味噌バターコーンラーメン,みそばたーこーんらーめん,misobata-ko-nra-mexn
味噌ラーメン大盛り,みそらーめんおおもり,misora-mexnoomori
未知の生命体,みちのせいめいたい,mitinoseimeitai
未知の領域に踏み込む,みちのりょういきにふみこむ,mitinoryouikinifumikomu
見つかってしまった,みつかってしまった,mitukattesimatta
見逃してください！,みのがしてください！,minogasitekudasai!
身分証明書,みぶんしょうめいしょ,mibunshoumeisho
魅力的なアイテム,みりょくてきなあいてむ,miryokutekinaaitemu
無人島生活,むじんとうせいかつ,mujintouseikatu
無人島でサバイバル,むじんとうでさばいばる,mujintoudesabaibaru
無人島に漂着,むじんとうにひょうちゃく,mujintounihyoutyaku
無遅刻無欠席,むちこくむけっせき,mutikokumukesseki
迷惑メールが多すぎる,めいわくめーるがおおすぎる,meiwakume-rugaoosugiru
メールアドレスを間違えた,めーるあどれすをまちがえた,me-ruadoresuwomatigaeta
目覚まし時計に勝ちました,めざましどけいにかちました,mezamasidokeinikatimasita
メジャーリーグへ挑戦,めじゃーりーぐへちょうせん,meja-ri-guhetyousexn
珍しく真剣な顔してるね,めずらしくしんけんなかおしてるね,mezurasikusinkexnnakaositerune
メンテナンスフリー,めんてなんすふりー,mentenansufuri-
もう一度お掛け直し下さい,もういちどおかけなおしください,mouitidookakenaosikudasai
もう一度チャンスをください,もういちどちゃんすをください,mouitidotyansuwokudasai
もう一度やり直そう,もういちどやりなおそう,mouitidoyarinaosou
毛細管現象,もうさいかんげんしょう,mousaikangenshou
もう少し待ってください,もうすこしまってください,mousukosimattekudasai
もうだめだ、降参しよう,もうだめだ、こうさんしよう,"moudameda,kousansiyou"
もうどうにでもなーれ,もうどうにでもなーれ,moudounidemona-re
木工用ボンド,もっこうようぼんど,mokkouyoubondo
桃がドンブラコと流れてきました,ももがどんぶらことながれてきました,momogadonburakotonagaretekimasita
盛り上がってまいりました,もりあがってまいりました,moriagattemairimasita
野球中継,やきゅうちゅうけい,yakyuutyuukei
やっぱりやめておけばよかった,やっぱりやめておけばよかった,yappariyameteokebayokatta
遊園地でデート,ゆうえんちででーと,yuuentide-to
有給休暇,ゆうきゅうきゅうか,yuukyuukyuuka
有給休暇を使う,ゆうきゅうきゅうかをつかう,yuukyuukyuukawotukau
有効期限が切れました,ゆうこうきげんがきれました,yuukoukigengakiremasita
有酸素運動,ゆうさんそうんどう,yuusansoundou
優柔不断な人ね,ゆうじゅうふだんなひとね,yuujuufudaxnnahitone
優勝おめでとう！,ゆうしょうおめでとう！,yuushouomedetou!
優勝トロフィー,ゆうしょうとろふぃー,yuushoutorofi-
ユーラシア大陸,ゆーらしあたいりく,yu-rasiatairiku
浴衣の綺麗なお姉さん,ゆかたのきれいなおねえさん,yukatanokireinaoneesaxn
揺りかごから墓場まで,ゆりかごからはかばまで,yurikagokarahakabamade
よろしくお願いします,よろしくおねがいします,yorosikuonegaisimasu
来年のカレンダー,らいねんのかれんだー,rainexnnokarenda-
リクライニングシート,りくらいにんぐしーと,rikurainingusi-to
リモートコントローラー,りもーとこんとろーらー,rimo-tokontoro-ra-
リュウグウノツカイ,りゅうぐうのつかい,ryuuguunotukai
領収書ください,りょうしゅうしょください,ryoushuushokudasai
良薬は口に苦し,りょうやくはくちににがし,ryouyakuhakutininigasi
料理のさしすせそ,りょうりのさしすせそ,ryourinosasisuseso
料理は愛情,りょうりはあいじょう,ryourihaaijou
緑黄色野菜,りょくおうしょくやさい,ryokuoushokuyasai
ルールがわかりません,るーるがわかりません,ru-rugawakarimasexn
ルールを守りましょう,るーるをまもりましょう,ru-ruwomamorimashou
留守番電話サービスです,るすばんでんわさーびすです,rusubandenwasa-bisudesu
冷蔵庫のプリン知らない？,れいぞうこのぷりんしらない？,reizoukonopurinsiranai?
冷凍食品,れいとうしょくひん,reitoushokuhixn
レインボーブリッジ,れいんぼーぶりっじ,reinbo-burijji
廊下に立ってなさい,ろうかにたってなさい,roukanitattenasai
廊下を走らない,ろうかをはしらない,roukawohasiranai
労働基準法,ろうどうきじゅんほう,roudoukijunhou
ログインしてください,ろぐいんしてください,roguinsitekudasai
六法全書を丸暗記,ろっぽうぜんしょをまるあんき,roppouzenshowomaruanki
分かった人は手を挙げて,わかったひとはてをあげて,wakattahitohatewoagete
和食か洋食,わしょくかようしょく,washokukayoushoku
私英語ワカリマセーン,わたしえいごわかりませーん,watasieigowakarimase-xn
ワニ革のハンドバッグ,わにがわのはんどばっぐ,wanigawanohandobaggu
和風ドレッシング,わふうどれっしんぐ,wafuudoressingu
我思う、故に我あり,われおもう、ゆえにわれあり,"wareomou,yueniwareari"
ワレワレハウチュウジンダ,われわれはうちゅうじんだ,warewarehautyuujinda
